Item Name,  Cost   ,  Selling Price  ,  Profit   ,Margin
1 lb. Coffee,$9.70 ,$13.95 ,$4.25 ,30%
Almond Joy (L),$1.27 ,$2.92 ,$1.65 ,57%
Almond Joy (S),$0.98 ,$2.45 ,$1.47 ,60%
Americano,$0.42 ,$1.25 ,$0.83 ,67%
Apple Cider (L),$0.57 ,$2.00 ,$1.43 ,71%
Apple Cider (S),$0.48 ,$1.50 ,$1.02 ,68%
Apple Pie Chai (L),$1.66 ,$3.25 ,$1.59 ,49%
Apple Pie Chai (S),$1.16 ,$2.75 ,$1.59 ,49%
Arjana Smoothie,$2.68 ,$4.00 ,$1.32 ,33%
Bagel,$0.90 ,$2.00 ,$1.43 ,71%
BagelCombo(BagelandSmallHotDrink),$1.72 ,$3.00 ,$1.28 ,43%
Combo,$1.72 ,$3.00 ,$1.28 ,43%
Baked Oatmeal,$1.91 ,$2.25 ,$0.34 ,15%
Black Eye (L),$0.97 ,$2.25 ,$0.34 ,15%
Black Eye (S),$0.88 ,$1.75 ,$0.87 ,50%
Bottled Soda,$0.93 ,$1.89 ,$0.96 ,51%
Bottled Water,$0.11 ,$1.00 ,$0.89 ,89%
Breakfast bisquit,$1.15 ,$2.50 ,$1.35 ,54%
Breakfast Scone,$0.99 ,$2.50 ,$1.35 ,54%
Brazilian Truffle - Brigadeiro,$0.85 ,$1.25 ,$0.83 ,67%
Brownie (any kind),$0.99 ,$2.50 ,$1.35 ,54%
Burrito,$1.00 ,$2.00 ,$1.43 ,71%
Butter Beer,$1.13 ,$4.00 ,$1.32 ,33%
Cafe Au Lait (L),$0.69 ,$2.00 ,$1.43 ,71%
Cafe Au Lait (S),$0.59 ,$1.75 ,$0.87 ,50%
Cafe Royal (S),$1.00 ,$2.00 ,$1.43 ,71%
Cafe Royal (L),$1.25 ,$3.07 ,$1.82 ,59%
Cappuccino (L),$0.76 ,$2.50 ,$1.35 ,54%
Cappuccino (S),$0.69 ,$2.00 ,$1.43 ,71%
Caramacchino,$1.52 ,$3.25 ,$1.59 ,49%
Caramel Nut Latte (L),$1.31 ,$3.00 ,$1.28 ,43%
Caramel Nut Latte (S),$1.10 ,$2.50 ,$1.35 ,54%
Chai (L),$1.69 ,$2.75 ,$1.59 ,49%
Chai (S),$1.32 ,$2.50 ,$1.35 ,54%
Chai Milkshake (L),$2.24 ,$4.00 ,$1.32 ,33%
Chai Milkshake (S),$1.74 ,$3.50 ,$1.76 ,44%
Chocolate Chip Cookies,$0.49 ,$1.00 ,$0.89 ,89%
Chocolate Milkshake (L),$2.01 ,$4.00 ,$1.32 ,33%
Chocolate Milkshake (S),$1.64 ,$3.50 ,$1.76 ,44%
Christmas in a Cup (L),$1.54 ,$3.25 ,$1.59 ,49%
Christmas in a Cup (S),$1.52 ,$3.25 ,$1.59 ,49%
Cinnamon Roll,$1.19 ,$3.00 ,$1.28 ,43%
Cloud '15,$1.45 ,$3.25 ,$1.59 ,49%
Coca Nut (L),$1.31 ,$3.00 ,$1.28 ,43%
Coca Nut (S),$1.10 ,$2.50 ,$1.35 ,54%
Coconutty (L),$1.22 ,$2.75 ,$1.59 ,49%
Coconutty (S),$0.85 ,$1.25 ,$0.83 ,67%
Coffee (L),$0.57 ,$2.00 ,$1.43 ,71%
Coffee (S),$0.48 ,$1.50 ,$1.02 ,68%
Cookie,$1.13 ,$4.00 ,$1.32 ,33%
Cookies n' Cream Milkshake (L),$1.65 ,$4.00 ,$1.32 ,33%
Cookies n' Cream Milkshake (S),$1.35 ,$3.50 ,$1.76 ,44%
Cream Cheese Brownie,$2.03 ,$3.00 ,$1.28 ,43%
Cupid's Kiss (L),$1.02 ,$3.00 ,$1.28 ,43%
Cup Of Milk,$0.50 ,$1.50 ,$1.02 ,68%
Cupid's Kiss (S),$0.77 ,$2.50 ,$1.35 ,54%
Dirty Chai (L),$1.81 ,$3.25 ,$1.59 ,49%
Dirty Chai (S),$1.44 ,$2.75 ,$1.59 ,49%
Dirty Leprechaun (L),$1.51 ,$3.50 ,$1.76 ,44%
Dirty Leprechaun (S),$1.21 ,$3.00 ,$1.28 ,43%
Double Chocolate Cookie,$0.80 ,$1.25 ,$0.83 ,67%
Drink of the Week,$2.03 ,$3.00 ,$1.28 ,43%
Ebony & Ivory (L),$1.79 ,$3.25 ,$1.59 ,49%
Ebony & Ivory (S),$1.38 ,$2.75 ,$1.59 ,49%
Eggnog Latte (L),$1.57 ,$3.50 ,$1.76 ,44%
Eggnog Latte (S),$1.26 ,$3.00 ,$1.28 ,43%
Eggnog Milkshake (L),$1.41 ,$4.00 ,$1.32 ,33%
Eggnog Milkshake (S),$1.17 ,$3.50 ,$1.76 ,44%
Espresso,$0.17 ,$1.25 ,$0.83 ,67%
Extra ingredients ,$0.10 ,$0.35 ,$0.25 ,72%
Extra Shot of Syrup,$0.14 ,$0.33 ,$0.19 ,58%
Extra Shot of Espresso,$0.18 ,$0.33 ,$0.19 ,58%
Frozen Leprechaun,$1.44 ,$2.75 ,$1.59 ,49%
Frozen Turtle,$1.75 ,$3.25 ,$1.59 ,49%
Fruit Smoothie,$2.14 ,$4.00 ,$1.32 ,33%
Granola Bars,$0.21 ,$0.75 ,$0.54 ,72%
Gatorade,$0.63 ,$2.00 ,$1.43 ,71%
Hazelnut Hot Chocolate (L),$0.94 ,$3.25 ,$1.59 ,49%
Hazelnut Hot Chocolate (S),$0.72 ,$2.75 ,$1.59 ,49%
Hot Chocolate (L),$0.70 ,$2.50 ,$1.35 ,54%
Hot Chocolate (S),$0.55 ,$2.00 ,$1.43 ,71%
Hot Tea (L),$0.36 ,$1.50 ,$1.02 ,68%
Hot Tea (S),$0.35 ,$1.25 ,$0.83 ,67%
Iced Chai (L),$1.60 ,$3.00 ,$1.28 ,43%
Iced Chai (S),$1.26 ,$3.00 ,$1.28 ,43%
Iced Coffee (L),$0.47 ,$1.75 ,$0.87 ,50%
Iced Coffee (S),$0.42 ,$1.25 ,$0.83 ,67%
Iced Latte (L),$0.67 ,$2.50 ,$1.35 ,54%
Iced Latte (S),$0.63 ,$2.00 ,$1.43 ,71%
Iced Mocha (L),$0.93 ,$1.89 ,$0.96 ,51%
Iced Mocha (S),$0.81 ,$2.75 ,$1.59 ,49%
Iced Steamer (L),$0.59 ,$1.75 ,$0.87 ,50%
Iced Steamer (S),$0.51 ,$2.00 ,$1.43 ,71%
Java Junk,$1.99 ,$5.00 ,$3.01 ,60%
Javaccino,$1.66 ,$3.25 ,$1.59 ,49%
Julia (L),$2.10 ,$3.25 ,$1.59 ,49%
Julia (S),$1.42 ,$2.75 ,$1.59 ,49%
Latte (L),$0.76 ,$2.50 ,$1.35 ,54%
Latte (S),$0.69 ,$2.00 ,$1.43 ,71%
Maple Leaf Latte,$1.23 ,$3.25 ,$1.59 ,49%
Menno Tea,$0.94 ,$3.25 ,$1.59 ,49%
Milk (L),$0.50 ,$1.50 ,$1.02 ,68%
Milk (S),$0.43 ,$1.25 ,$0.83 ,67%
Milkshake (L),$1.88 ,$4.00 ,$1.32 ,33%
Milkshake (S),$1.52 ,$3.25 ,$1.59 ,49%
Mint Milkshake ,$1.75 ,$3.25 ,$1.59 ,49%
Mocha (L),$1.00 ,$2.00 ,$1.43 ,71%
Mocha (S),$0.85 ,$1.25 ,$0.83 ,67%
MoCoCo Freeze,$0.99 ,$2.50 ,$1.35 ,54%
Mud Slide (L),$1.23 ,$3.25 ,$1.59 ,49%
Mud Slide (S),$1.00 ,$2.00 ,$1.43 ,71%
Muffin ,$0.79 ,$2.00 ,$1.43 ,71%
Orange Juice (L),$0.57 ,$2.00 ,$1.43 ,71%
Orange Juice (S),$0.48 ,$1.50 ,$1.02 ,68%
Oreo N' Tall,$1.64 ,$3.50 ,$1.76 ,44%
Peppermint Frappe,$2.16 ,$4.00 ,$1.32 ,33%
Peppermint Latte (L),$1.31 ,$3.00 ,$1.28 ,43%
Peppermint Latte (S),$1.10 ,$2.50 ,$1.35 ,54%
Peppermint Mocha (L),$1.56 ,$3.50 ,$1.76 ,44%
Peppermint Mocha (S),$1.26 ,$3.00 ,$1.28 ,43%
Pina Colada Smoothie,$2.82 ,$4.50 ,$2.75 ,61%
Pizza,$1.29 ,$2.50 ,$1.35 ,54%
Pumpkin Pie Latte (L),$1.74 ,$3.50 ,$1.76 ,44%
Pumpkin Pie Latte (S),$1.46 ,$3.00 ,$1.28 ,43%
Pumpkin Mocha (L),$1.13 ,$4.00 ,$1.32 ,33%
Pumpkin Mocha (S),$0.99 ,$2.50 ,$1.35 ,54%
Pumpkin Roll,$0.81 ,$2.75 ,$1.59 ,49%
Red Eye (L),$0.83 ,$1.75 ,$0.87 ,50%
Red Eye (S),$0.74 ,$1.50 ,$1.02 ,68%
Risen'RollDoughnut,$1.08 ,$2.00 ,$1.43 ,71%
Root Beer Floats,$0.54 ,$2.00 ,$1.43 ,71%
Sausage pancake breakfast,$0.84 ,$1.50 ,$1.02 ,68%
Soft cider (L),$1.05 ,$2.50 ,$1.35 ,54%
Soft cider (S),$0.94 ,$3.25 ,$1.59 ,49%
Spiced Chai (L),$2.15 ,$3.25 ,$1.59 ,49%
Spiced Chai (S),$1.64 ,$3.50 ,$1.76 ,44%
Steamer (L),$0.75 ,$2.50 ,$1.35 ,54%
Steamer (S),$0.67 ,$2.50 ,$1.35 ,54%
Tea Latte (L),$1.04 ,$2.00 ,$1.43 ,71%
Tea Latte (S),$1.25 ,$3.07 ,$1.82 ,59%
The Bear (L),$1.38 ,$2.75 ,$1.59 ,49%
Vanilla Chai (L),$2.18 ,$3.25 ,$1.59 ,49%
Vanilla Chai (S),$1.66 ,$3.25 ,$1.59 ,49%
Vanilla Fudge Latte (L),$1.51 ,$3.50 ,$1.76 ,44%
Vanilla Fudge Latte (S),$1.21 ,$3.00 ,$1.28 ,43%
Vanilla Milkshake (L),$1.63 ,$4.00 ,$1.32 ,33%
Vanilla Milkshake (S),$1.36 ,$3.50 ,$1.76 ,44%
White Caramel Mocha (L),$1.34 ,$3.25 ,$1.59 ,49%
White Caramel Mocha (S),$1.12 ,$2.75 ,$1.59 ,49%
White Pumpkin Mocha (L),$1.22 ,$2.75 ,$1.59 ,49%
White Pumpkin Mocha ,$1.22 ,$2.75 ,$1.59 ,49%
White Pumpkin Mocha (S),$0.99 ,$2.50 ,$1.35 ,54%
White Hot Chocolate (L),$1.34 ,$3.25 ,$1.59 ,49%
White Hot Chocolate (S),$0.93 ,$1.89 ,$0.96 ,51%
White Raspberry Mocha,$1.20 ,$3.50 ,$1.76 ,44%
Extra Oreo Cookie(1),$0.10 ,$0.35 ,$0.25 ,72%
Vanilla Latte (S),$1.27 ,$2.92 ,$1.65 ,57%
Vanilla Latte (L),$1.56 ,$3.50 ,$1.76 ,44%
Cup of Milk,$0.50 ,$1.50 ,$1.02 ,68%
Punpkin Mocha(S),$0.99 ,$2.50 ,$1.35 ,54%
Plain Milkshake (L),$1.88 ,$4.00 ,$1.32 ,33%
Plain Milkshake (S),$1.52 ,$3.25 ,$1.59 ,49%
Oreo Milkshake ,$1.65 ,$4.00 ,$1.32 ,33%
Oreo Milkshake (L),$1.65 ,$4.00 ,$1.32 ,33%
Oreo Milkshake (S),$1.35 ,$3.50 ,$1.76 ,44%
Mint Oreo Milkshake ,$1.75 ,$3.25 ,$1.59 ,49%
Muffin,$0.79 ,$2.00 ,$1.43 ,71%
Brazilian Truffle,$0.85 ,$1.25 ,$0.83 ,67%
Donut,$1.08 ,$2.00 ,$1.43 ,71%
Pumpkin Pie Milkshake,$1.66 ,$4.00 ,$2.34 ,58%
